root.y = 0.3300   地面 Y = 0.3000
Visual.localPosition.y 设为 0.0880

状态      采样最低(相对地面)   建议 stateOffsets.y
----------------------------------------------------
Idle          0.1159               -0.1129
Walk          0.0763               -0.0733
Run           0.0723               -0.0693
Dash          0.0938               -0.0908
Atk1          0.1099               -0.1069
Atk1Rec       0.1152               -0.1122
Atk2          0.0957               -0.0927
Atk2Rec       0.1147               -0.1117
Atk3          0.1079               -0.1049
