========== 龙骨盘点（按空间位置分类）==========
骨骼总数 = 275

顶点包围盒: X[-3.896,1.837]  Y[-0.042,2.237]  Z[-3.610,2.002]
（相对角色根；长轴=X）

---- 全部骨骼（按 Z 从后到前排序）----
  [idx] 名字                      局部位置(X,Y,Z)               到根距离  子数
  [  0] drgon_0226                 ( -3.180,  1.534, -2.761)    4.482  0
  [  1] drgon_0222                 ( -2.827,  1.611, -2.743)    4.256  0
  [  2] drgon_0220                 ( -2.780,  1.465, -2.706)    4.147  0
  [  3] drgon_0225                 ( -2.914,  1.539, -2.706)    4.264  1
  [  4] drgon_0218                 ( -2.885,  1.607, -2.651)    4.235  0
  [  5] drgon_0224                 ( -2.871,  1.495, -2.617)    4.162  0
  [  6] drgon_0201                 ( -2.620,  1.586, -2.587)    4.010  1
  [  7] drgon_0216                 ( -2.656,  1.579, -2.587)    4.030  5
  [  8] drgon_0217                 ( -2.637,  1.616, -2.572)    4.023  1
  [  9] drgon_0219                 ( -2.599,  1.541, -2.570)    3.966  1
  [ 10] drgon_0223                 ( -2.632,  1.581, -2.560)    3.998  1
  [ 11] drgon_0215                 ( -2.410,  1.617, -2.474)    3.814  1
  [ 12] drgon_0214                 ( -2.143,  1.576, -2.427)    3.601  1
  [ 13] drgon_0213                 ( -1.922,  1.428, -2.364)    3.365  1
  [ 14] drgon_0212                 ( -1.770,  1.225, -2.260)    3.121  2
  [ 15] drgon_0268                 ( -0.940,  0.047, -2.229)    2.420  0
  [ 16] drgon_0227                 ( -1.703,  1.292, -2.227)    3.087  0
  [ 17] drgon_0267                 ( -0.987,  0.048, -2.183)    2.397  1
  [ 18] drgon_0211                 ( -1.694,  1.122, -2.167)    2.970  2
  [ 19] drgon_0265                 ( -0.874,  0.046, -2.131)    2.303  0
  [ 20] drgon_0228                 ( -1.629,  1.206, -2.126)    2.937  0
  [ 21] drgon_0266                 ( -1.047,  0.049, -2.125)    2.370  1
  [ 22] drgon_0264                 ( -0.937,  0.054, -2.115)    2.314  1
  [ 23] drgon_0263                 ( -1.025,  0.064, -2.093)    2.331  1
  [ 24] drgon_0257                 ( -1.064,  0.086, -2.083)    2.341  4
  [ 25] drgon_0210                 ( -1.621,  0.991, -2.082)    2.818  2
  [ 26] drgon_0258                 ( -1.107,  0.038, -2.072)    2.350  1
  [ 27] drgon_0256                 ( -1.105,  0.253, -2.063)    2.354  2
  [ 28] drgon_0269                 ( -1.105,  0.254, -2.063)    2.354  0
  [ 29] drgon_0259                 ( -1.165,  0.039, -2.058)    2.365  1
  [ 30] drgon_0260                 ( -1.029,  0.049, -2.054)    2.298  1
  [ 31] drgon_0241                 ( -1.216,  0.039, -2.045)    2.380  0
  [ 32] drgon_0229                 ( -1.537,  1.070, -2.034)    2.764  0
  [ 33] drgon_0261                 ( -0.949,  0.048, -2.031)    2.242  1
  [ 34] drgon_0270                 ( -0.920,  0.391, -2.018)    2.252  0
