t(s) | tf.y | Visual.lp.y | root.lp.y | curLift | 首节Y | 尾节Y | airborne
 1.00 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.85 | True
 1.10 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   2.83 | True
 1.19 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   2.71 | True
 1.29 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.74 | True
 1.39 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   0.85 | True
 1.48 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   0.82 | True
 1.58 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.47 | True
 1.68 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.91 | True
 1.77 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.39 | True
 1.87 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   0.15 | True
 1.97 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |  -0.80 | True
 2.07 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |  -0.80 | True
 2.16 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   0.07 | True
 2.26 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.04 | True
 2.35 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   1.21 | True
 2.45 |   0.05 |      0.00 |      0.00 |    3.60 |   0.83 |   0.63 | True
 2.55 |   0.05 |      1.74 |      0.00 |    3.60 |   2.57 |   2.64 | True
 2.65 |   0.05 |      3.28 |      0.00 |    3.60 |   4.11 |   3.96 | True
 2.75 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   4.09 | True
 2.84 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   4.54 | True
 2.94 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   5.47 | True
 3.04 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   5.81 | True
 3.14 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   4.79 | True
 3.23 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   3.36 | True
 3.33 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   2.85 | True
 3.43 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   3.42 | True
 3.53 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   4.99 | True
 3.60 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   5.90 | True
 3.69 |   0.05 |      3.60 |      0.00 |    3.60 |   4.43 |   6.12 | True
