=== DgMoveProbe ===
dragonType = InkWash.Enemies.EnemyDragon
timeScale  time  dt  | state  airborne lift  dist  pos  | swimDir  | posDelta/frame
  1.00   8.61   0.333 | Chase        True    3.60  10.19 (-13.7,0.1,-5.2) | True | 0.0000
  1.00   9.02   0.005 | Chase        True    3.60  11.10 (-13.9,0.1,-2.0) | True | 3.1869
  1.00   9.42   0.005 | Chase        True    3.60  11.14 (-12.7,0.1,0.9) | True | 3.1768
  1.00   9.82   0.006 | Chase        True    3.60  10.80 (-10.4,0.1,3.1) | True | 3.1797
  1.00  10.22   0.004 | Chase        True    3.60  10.42 (-7.5,0.1,4.5) | True | 3.1967
  1.00  10.62   0.006 | Chase        True    3.60  10.62 (-4.5,0.1,5.5) | True | 3.1860
  1.00  11.02   0.005 | Chase        True    3.60  10.78 (-1.3,0.1,5.6) | True | 3.1911
  1.00  11.42   0.006 | Chase        True    3.60  10.61 (1.6,0.1,4.4) | True | 3.1681
  1.00  11.82   0.005 | Chase        True    3.60  10.33 (4.1,0.1,2.3) | True | 3.2175
  1.00  12.22   0.005 | Chase        True    3.60  10.51 (6.1,0.1,-0.1) | True | 3.1812
  1.00  12.62   0.006 | Chase        True    3.60  10.89 (7.5,0.1,-3.0) | True | 3.2048
  1.00  13.02   0.005 | Chase        True    3.60  10.99 (7.7,0.1,-6.2) | True | 3.1776
  1.00  13.42   0.005 | Chase        True    3.60  10.75 (6.7,0.1,-9.2) | True | 3.1656
  1.00  13.82   0.005 | Chase        True    3.60  10.34 (4.7,0.1,-11.6) | True | 3.1804
  1.00  14.22   0.006 | Chase        True    3.60  10.40 (2.4,0.1,-13.8) | True | 3.1910
  1.00  14.62   0.006 | Chase        True    3.60  10.85 (-0.3,0.1,-15.5) | True | 3.1843
  1.00  15.02   0.005 | Chase        True    3.60  11.03 (-3.5,0.1,-16.0) | True | 3.2051
  1.00  15.42   0.005 | Chase        True    3.60  10.83 (-6.6,0.1,-15.3) | True | 3.1656
  1.00  15.82   0.005 | Chase        True    3.60  10.40 (-9.2,0.1,-13.5) | True | 3.1912
  1.00  16.22   0.004 | Chase        True    3.60  10.39 (-11.5,0.1,-11.3) | True | 3.1824
  1.00  16.62   0.005 | Chase        True    3.60  10.82 (-13.4,0.1,-8.7) | True | 3.1906
  1.00  17.02   0.005 | Chase        True    3.60  10.99 (-14.2,0.1,-5.6) | True | 3.1725
  1.00  17.42   0.006 | Chase        True    3.60  10.79 (-13.7,0.1,-2.4) | True | 3.2122
  1.00  17.82   0.004 | Chase        True    3.60  10.38 (-12.1,0.1,0.3) | True | 3.1714
  1.00  18.22   0.005 | Chase        True    3.60  10.40 (-10.1,0.1,2.8) | True | 3.1968
  1.00  18.62   0.006 | Chase        True    3.60  10.83 (-7.6,0.1,4.9) | True | 3.2112
  1.00  19.02   0.005 | Chase        True    3.60  10.99 (-4.7,0.1,5.9) | True | 3.1482
  1.00  19.42   0.006 | Chase        True    3.60  10.79 (-1.5,0.1,5.6) | True | 3.1720
  1.00  19.82   0.005 | Chase        True    3.60  10.38 (1.4,0.1,4.3) | True | 3.1975
  1.00  20.21   0.006 | Chase        True    3.60  10.40 (4.0,0.1,2.5) | True | 3.1847
  1.00  20.62   0.005 | Chase        True    3.60  10.83 (6.3,0.1,0.2) | True | 3.2172
  1.00  21.02   0.005 | Chase        True    3.60  11.00 (7.5,0.1,-2.7) | True | 3.1485
