=== 链形状（龙自身坐标系：fwd=+Z, right=+X, up=+Y）===
 i |  name     | 距前一节 | 自身坐标 (x=横, y=高, z=前) | 相邻方向角 | 累计横偏
  0 | drgon_03   |    0.000 | (  2.39,  4.38, -1.54) |     0.00° |     2.39
  1 | drgon_04   |    0.237 | (  2.31,  4.30, -1.33) |     0.00° |     4.70
  2 | drgon_05   |    0.262 | (  2.23,  4.21, -1.10) |     0.00° |     6.93
  3 | drgon_06   |    0.392 | (  2.15,  4.13, -0.72) |     0.00° |     9.08
  4 | drgon_07   |    0.442 | (  2.13,  4.15, -0.28) |     0.00° |    11.21
  5 | drgon_08   |    0.421 | (  2.16,  4.28,  0.12) |     0.00° |    13.37
  6 | drgon_09   |    0.457 | (  2.19,  4.49,  0.52) |     0.00° |    15.56
  7 | drgon_010  |    0.508 | (  2.12,  4.72,  0.97) |     0.00° |    17.69
  8 | drgon_011  |    0.510 | (  1.79,  4.73,  1.35) |     0.00° |    19.47
  9 | drgon_012  |    0.510 | (  1.36,  4.54,  1.54) |     0.00° |    20.83
 10 | drgon_013  |    0.484 | (  0.95,  4.27,  1.58) |     0.00° |    21.78
 11 | drgon_014  |    0.437 | (  0.63,  3.99,  1.50) |     0.00° |    22.41
 12 | drgon_015  |    0.358 | (  0.39,  3.76,  1.35) |     0.00° |    22.80
 13 | drgon_016  |    0.262 | (  0.23,  3.64,  1.19) |     0.00° |    23.03
 14 | drgon_017  |    0.230 | (  0.10,  3.59,  1.00) |     0.00° |    23.14
 15 | drgon_018  |    0.270 | ( -0.04,  3.63,  0.78) |     0.00° |    23.10
 16 | drgon_019  |    0.313 | ( -0.19,  3.77,  0.54) |     0.00° |    22.91
 17 | drgon_020  |    0.365 | ( -0.37,  4.00,  0.32) |     0.00° |    22.54
 18 | drgon_021  |    0.378 | ( -0.58,  4.25,  0.13) |     0.00° |    21.96
 19 | drgon_022  |    0.413 | ( -0.93,  4.41, -0.03) |     0.00° |    21.03
 20 | drgon_023  |    0.274 | ( -1.17,  4.28, -0.09) |     0.00° |    19.87
 21 | drgon_024  |    0.269 | ( -1.32,  4.07, -0.08) |     0.00° |    18.54
 22 | drgon_025  |    0.174 | ( -1.39,  3.91, -0.05) |     0.00° |    17.15
 23 | drgon_00   |    0.299 | ( -1.46,  3.76, -0.30) |     0.00° |    15.69
链总长 = 8.27 m（24 节）
首节 y=4.38  尾节 y=3.76
