──── 采样 t=4.00s ────
 i | 相对基准的偏移角 | 偏移欧拉(轴角) | 世界Z轴与切线夹角
  0 |       3.33° | (-0.31, 0.16, 0.93)   3.3° |     0.00°
  1 |       0.17° | (-0.06,-1.00, 0.02)   0.2° |     0.00°
  2 |       3.07° | ( 0.10, 0.99,-0.02)   3.1° |     8.09°
  3 |       4.87° | ( 0.14, 0.99,-0.01)   4.9° |    10.53°
  4 |       4.39° | ( 0.11, 0.99,-0.02)   4.4° |    14.36°
  5 |       1.86° | ( 0.02, 1.00,-0.03)   1.9° |    11.18°
  6 |       1.54° | ( 0.21,-0.98, 0.02)   1.5° |     5.41°
  7 |       4.22° | ( 0.58,-0.81,-0.09)   4.2° |    12.25°
  8 |       4.93° | ( 0.49,-0.87,-0.04)   4.9° |    40.70°
  9 |       3.33° | ( 0.31,-0.95, 0.01)   3.3° |    31.26°
 10 |       0.16° | ( 0.28,-0.99, 0.02)   0.2° |    18.26°
 11 |       3.07° | (-0.25, 0.97,-0.03)   3.1° |    15.83°
 12 |       4.87° | (-0.23, 0.97,-0.04)   4.9° |    14.33°
 13 |       4.39° | (-0.22, 0.97,-0.05)   4.4° |    13.59°
 14 |       1.86° | (-0.19, 0.98,-0.05)   1.9° |    15.13°
 15 |       1.54° | ( 0.08,-1.00, 0.04)   1.5° |    17.21°
 16 |       4.22° | (-0.02,-1.00, 0.03)   4.2° |    15.41°
 17 |       4.93° | (-0.11,-0.99, 0.02)   4.9° |    13.63°
 18 |       3.33° | (-0.35,-0.92, 0.15)   3.3° |    12.41°
 19 |       0.17° | (-0.36,-0.88, 0.31)   0.2° |    21.97°
 20 |       3.07° | ( 0.26, 0.96,-0.13)   3.1° |    44.95°
 21 |       4.87° | ( 0.15, 0.99,-0.05)   4.9° |    29.68°
 22 |       4.39° | (-0.30, 0.95,-0.03)   4.4° |    17.01°
 23 |       1.86° | ( 0.00, 0.00,-1.00)   1.9° |    65.80°
──── 采样 t=4.35s ────
 i | 相对基准的偏移角 | 偏移欧拉(轴角) | 世界Z轴与切线夹角
  0 |       0.73° | (-0.31, 0.16, 0.94)   0.7° |     0.00°
  1 |       4.14° | ( 0.06, 1.00,-0.02)   4.1° |     0.00°
  2 |       7.07° | ( 0.10, 0.99,-0.02)   7.1° |     4.58°
  3 |       6.69° | ( 0.14, 0.99,-0.01)   6.7° |     7.54°
  4 |       3.18° | ( 0.11, 0.99,-0.02)   3.2° |    12.90°
  5 |       1.81° | (-0.02,-1.00, 0.03)   1.8° |    12.21°
  6 |       5.96° | ( 0.21,-0.98, 0.02)   6.0° |     9.04°
  7 |       7.32° | ( 0.58,-0.81,-0.09)   7.3° |    12.03°
  8 |       5.26° | ( 0.49,-0.87,-0.04)   5.3° |    39.41°
  9 |       0.73° | ( 0.31,-0.95, 0.01)   0.7° |    31.16°
 10 |       4.13° | (-0.27, 0.96,-0.02)   4.1° |    18.85°
 11 |       7.07° | (-0.25, 0.97,-0.03)   7.1° |    16.80°
 12 |       6.69° | (-0.23, 0.97,-0.04)   6.7° |    14.79°
 13 |       3.18° | (-0.22, 0.97,-0.05)   3.2° |    13.27°
 14 |       1.81° | ( 0.19,-0.98, 0.05)   1.8° |    15.82°
 15 |       5.96° | ( 0.08,-1.00, 0.04)   6.0° |    20.19°
 16 |       7.32° | (-0.02,-1.00, 0.03)   7.3° |    19.65°
 17 |       5.26° | (-0.11,-0.99, 0.02)   5.3° |    16.71°
 18 |       0.73° | (-0.35,-0.93, 0.15)   0.7° |    12.70°
 19 |       4.14° | ( 0.36, 0.88,-0.31)   4.1° |    23.05°
 20 |       7.07° | ( 0.26, 0.96,-0.13)   7.1° |    48.68°
 21 |       6.69° | ( 0.15, 0.99,-0.05)   6.7° |    33.15°
 22 |       3.18° | (-0.30, 0.95,-0.03)   3.2° |    18.59°
 23 |       1.81° | ( 0.00, 0.00, 1.00)   1.8° |    65.72°
──── 采样 t=4.70s ────
 i | 相对基准的偏移角 | 偏移欧拉(轴角) | 世界Z轴与切线夹角
  0 |       5.01° | (-0.31, 0.16, 0.93)   5.0° |     0.00°
  1 |       9.59° | (-0.06,-1.00, 0.02)   9.6° |     0.00°
  2 |       9.68° | (-0.10,-0.99, 0.02)   9.7° |    17.09°
  3 |       5.24° | (-0.14,-0.99, 0.01)   5.2° |    22.27°
  4 |       1.65° | ( 0.11, 0.99,-0.02)   1.6° |    23.37°
  5 |       7.77° | ( 0.02, 1.00,-0.03)   7.8° |    13.56°
  6 |      10.25° | (-0.21, 0.98,-0.02)  10.3° |     1.24°
  7 |       7.94° | (-0.58, 0.81, 0.09)   7.9° |    18.78°
  8 |       1.92° | (-0.49, 0.87, 0.04)   1.9° |    47.14°
  9 |       5.01° | ( 0.31,-0.95, 0.01)   5.0° |    34.10°
 10 |       9.59° | ( 0.27,-0.96, 0.02)   9.6° |    18.06°
 11 |       9.68° | ( 0.25,-0.97, 0.03)   9.7° |    17.54°
 12 |       5.24° | ( 0.23,-0.97, 0.04)   5.2° |    19.28°
 13 |       1.65° | (-0.22, 0.97,-0.05)   1.6° |    18.76°
 14 |       7.77° | (-0.19, 0.98,-0.05)   7.8° |    16.78°
 15 |      10.25° | (-0.08, 1.00,-0.04)  10.3° |    13.13°
 16 |       7.94° | ( 0.02, 1.00,-0.03)   7.9° |     5.64°
 17 |       1.91° | ( 0.11, 0.99,-0.02)   1.9° |     1.94°
 18 |       5.01° | (-0.35,-0.92, 0.15)   5.0° |     7.39°
 19 |       9.59° | (-0.36,-0.88, 0.31)   9.6° |    21.40°
 20 |       9.68° | (-0.26,-0.96, 0.13)   9.7° |    37.12°
 21 |       5.24° | (-0.15,-0.99, 0.05)   5.2° |    19.80°
 22 |       1.65° | (-0.30, 0.95,-0.03)   1.6° |     9.92°
 23 |       7.77° | ( 0.00, 0.00,-1.00)   7.8° |    65.64°
──── 采样 t=5.05s ────
 i | 相对基准的偏移角 | 偏移欧拉(轴角) | 世界Z轴与切线夹角
  0 |       0.00° | (-0.33, 0.17, 0.98)   0.1° |     0.00°
  1 |       0.00° | (-0.06,-1.03, 0.03)   0.1° |     0.00°
  2 |       0.00° | (-0.15,-1.51, 0.03)   0.0° |     8.03°
