groundY = 0.3000   root.y = 0.3300
FootIK.enabled=True enableIk=True OffsetTarget=Visual 当前Applied=-0.0003

=== 关闭 FootIK（无 IK 基线）===
  Walk   无IK最低 = -0.0539
  Run    无IK最低 = 0.2341

=== 打开 FootIK，逐点打印反馈环 ===
  --- Walk ---
   nt   state     BodyBase BodyLift  ik.LowestY  RawPen   post(rel)  bp.y     ikOn
  0.00  Walk       0.0569   0.0000      0.0137  0.0000     0.0706  0.8138  True
  0.05  Walk       0.0569   0.0000      0.0382  0.0000     0.0951  0.8138  True
  0.10  Walk       0.0569   0.0000      0.1414  0.0000     0.1983  0.8138  True
  0.15  Walk       0.0569   0.0000      0.1665  0.0000     0.2234  0.8138  True
  0.20  Walk       0.0569   0.0000      0.0617  0.0000     0.1186  0.8138  True
  0.25  Walk       0.0569   0.0282     -0.0234  0.0284     0.0616  0.8138  True
  0.30  Walk       0.0569   0.0551     -0.0503  0.0553     0.0616  0.8138  True
  0.35  Walk       0.0569   0.0367     -0.0315  0.0365     0.0621  0.8138  True
  0.40  Walk       0.0569   0.0003      0.0082  0.0000     0.0654  0.8138  True
  0.45  Walk       0.0569   0.0000      0.0863  0.0000     0.1432  0.8138  True
  0.50  Walk       0.0569   0.0000      0.0263  0.0000     0.0832  0.8138  True
  0.55  Walk       0.0569   0.0000      0.0735  0.0000     0.1304  0.8138  True
  0.60  Walk       0.0569   0.0000      0.1528  0.0000     0.2097  0.8138  True
  0.65  Walk       0.0569   0.0000      0.1694  0.0000     0.2263  0.8138  True
  0.70  Walk       0.0569   0.0000      0.0642  0.0000     0.1211  0.8138  True
  0.75  Walk       0.0569   0.0271     -0.0223  0.0273     0.0616  0.8138  True
  0.80  Walk       0.0569   0.0586     -0.0539  0.0589     0.0616  0.8138  True
  0.85  Walk       0.0569   0.0370     -0.0318  0.0368     0.0621  0.8138  True
  0.90  Walk       0.0569   0.0003      0.0308  0.0000     0.0881  0.8138  True
  0.95  Walk       0.0569   0.0000      0.1845  0.0000     0.2414  0.8138  True
  1.00  Walk       0.0569   0.0000      0.0137  0.0000     0.0706  0.8138  True
  --- Run ---
   nt   state     BodyBase BodyLift  ik.LowestY  RawPen   post(rel)  bp.y     ikOn
  0.00  Run       -0.2294   0.0000      0.4977  0.0000     0.2683  0.8670  True
  0.05  Run       -0.2294   0.0000      0.2930  0.0000     0.0636  0.8670  True
  0.10  Run       -0.2294   0.0000      0.2341  0.0000     0.0047  0.8670  True
  0.15  Run       -0.2294   0.0000      0.3113  0.0000     0.0819  0.8670  True
  0.20  Run       -0.2294   0.0000      0.4569  0.0000     0.2275  0.8670  True
  0.25  Run       -0.2294   0.0000      0.4554  0.0000     0.2260  0.8670  True
  0.30  Run       -0.2294   0.0000      0.6052  0.0000     0.3758  0.8670  True
  0.35  Run       -0.2294   0.0000      0.6899  0.0000     0.4605  0.8670  True
  0.40  Run       -0.2294   0.0000      0.5688  0.0000     0.3394  0.8670  True
  0.45  Run       -0.2294   0.0000      0.4335  0.0000     0.2041  0.8670  True
  0.50  Run       -0.2294   0.0000      0.4970  0.0000     0.2676  0.8670  True
  0.55  Run       -0.2294   0.0000      0.2971  0.0000     0.0677  0.8670  True
  0.60  Run       -0.2294   0.0000      0.2342  0.0000     0.0048  0.8670  True
  0.65  Run       -0.2294   0.0000      0.3106  0.0000     0.0812  0.8670  True
  0.70  Run       -0.2294   0.0000      0.4593  0.0000     0.2299  0.8670  True
  0.75  Run       -0.2294   0.0000      0.4552  0.0000     0.2258  0.8670  True
  0.80  Run       -0.2294   0.0000      0.5976  0.0000     0.3682  0.8670  True
  0.85  Run       -0.2294   0.0000      0.7004  0.0000     0.4710  0.8670  True
  0.90  Run       -0.2294   0.0000      0.5574  0.0000     0.3280  0.8670  True
  0.95  Run       -0.2294   0.0000      0.4354  0.0000     0.2060  0.8670  True
  1.00  Run       -0.2294   0.0000      0.4977  0.0000     0.2683  0.8670  True
