════ 攻击片段候选：手臂张开度（俯视判据 = 左大臂与「竖直向下」夹角）════
   垂手≈0~20° ｜ 斜下≈40~55° ｜ 水平外伸≈80~95°（用户截图那种）

  候选                        时长   左臂峰值   峰值@nt   左臂>55°占比   左臂横向峰值|local.x|  右臂峰值
  K1_Diag_现状Atk1            1.00s     86.9°     0.40      100%          0.981            76.9°
  K2_Horiz_现状Atk2           1.37s     85.0°     0.15      100%          0.987            90.5°
  K3_Stab_现状Atk3            1.60s     84.7°     0.48      100%          0.781            93.4°
  Q_SwordRegularA           0.43s     82.4°     0.53       55%          0.904           124.1°
  Q_SwordRegularB           0.53s     78.0°     0.56       76%          0.968           109.2°
  Q_SwordRegularC           2.00s    114.9°     0.43       69%          0.999           109.4°
  Q_SwordRegularCombo       3.00s    114.0°     0.60       65%          0.999           124.0°
  Q_SwordHeavyCombo         4.33s    127.2°     0.63       41%          0.941           153.3°
  Q_SwordDash               1.57s     78.2°     0.23       66%          0.968            99.6°
  Q1_SwordAttack            1.53s    104.8°     0.41       54%          0.980           100.8°

出图目录 D:\Unity Project\InkWash\Tools/screenshots/atk_cand（每个候选一张「外展峰值帧」，视角 = 角色背后 = 用户截图视角）
