########## Assets/_Project   (2 条)
  Feng_Idle_Loop                             len=2.500 loop=True  Feng_Idle_Loop.anim
  Feng_Walk_Loop                             len=1.333 loop=True  Feng_Walk_Loop.anim

########## Assets/Char_Feng   (2 条)
  Idle                                       len=2.500 loop=False Idle.anim
  Walk                                       len=1.333 loop=False Walk.anim

########## ThirdParty/KayKit   (42 条)
  Fishing_Idle                               len=2.333 loop=False Rig_Medium_Tools.fbx
  Idle_A                                     len=1.067 loop=True  Rig_Medium_General.fbx
  Idle_A                                     len=1.967 loop=False Rig_Large_General.fbx
  Idle_B                                     len=2.133 loop=True  Rig_Medium_General.fbx
  Idle_B                                     len=6.000 loop=False Rig_Large_General.fbx
  Jump_Idle                                  len=1.067 loop=True  Rig_Medium_MovementBasic.fbx
  Lie_Idle                                   len=2.667 loop=False Rig_Medium_Simulation.fbx
  Lie_StandUp                                len=2.333 loop=False Rig_Medium_Simulation.fbx
  Melee_2H_Idle                              len=1.067 loop=True  Rig_Medium_CombatMelee.fbx
  Melee_2H_Idle                              len=1.567 loop=False Rig_Large_CombatMelee.fbx
  Melee_Block                                len=1.067 loop=False Rig_Large_CombatMelee.fbx
  Melee_Block                                len=1.067 loop=False Rig_Medium_CombatMelee.fbx
  Melee_Block_Attack                         len=1.033 loop=False Rig_Large_CombatMelee.fbx
  Melee_Block_Attack                         len=1.067 loop=False Rig_Medium_CombatMelee.fbx
  Melee_Block_Hit                            len=0.667 loop=False Rig_Large_CombatMelee.fbx
  Melee_Block_Hit                            len=1.067 loop=False Rig_Medium_CombatMelee.fbx
  Melee_Blocking                             len=1.067 loop=False Rig_Large_CombatMelee.fbx
  Melee_Blocking                             len=1.067 loop=True  Rig_Medium_CombatMelee.fbx
  Melee_Unarmed_Idle                         len=1.067 loop=False Rig_Large_CombatMelee.fbx
  Melee_Unarmed_Idle                         len=1.067 loop=True  Rig_Medium_CombatMelee.fbx
  Ranged_Bow_Aiming_Idle                     len=1.833 loop=False Rig_Medium_CombatRanged.fbx
  Ranged_Bow_Idle                            len=1.567 loop=False Rig_Medium_CombatRanged.fbx
  Running_A                                  len=0.800 loop=True  Rig_Medium_MovementBasic.fbx
  Running_A                                  len=1.067 loop=False Rig_Large_MovementBasic.fbx
  Running_B                                  len=0.800 loop=True  Rig_Medium_MovementBasic.fbx
  Running_HoldingBow                         len=0.800 loop=False Rig_Medium_MovementAdvanced.fbx
  Running_HoldingRifle                       len=0.800 loop=False Rig_Medium_MovementAdvanced.fbx
  Running_Strafe_Left                        len=0.800 loop=False Rig_Medium_MovementAdvanced.fbx
  Running_Strafe_Right                       len=0.800 loop=False Rig_Medium_MovementAdvanced.fbx
  Sit_Chair_Idle                             len=3.600 loop=False Rig_Medium_Simulation.fbx
  Sit_Chair_StandUp                          len=0.800 loop=False Rig_Medium_Simulation.fbx
  Sit_Floor_Idle                             len=4.000 loop=False Rig_Medium_Simulation.fbx
  Sit_Floor_StandUp                          len=1.133 loop=False Rig_Medium_Simulation.fbx
  Skeletons_Awaken_Standing                  len=1.000 loop=False Rig_Medium_Special.fbx
  Skeletons_Idle                             len=4.267 loop=False Rig_Medium_Special.fbx
  Skeletons_Inactive_Standing_Pose           len=0.033 loop=False Rig_Medium_Special.fbx
  Skeletons_Walking                          len=1.600 loop=False Rig_Medium_Special.fbx
  Walking_A                                  len=1.067 loop=False Rig_Large_MovementBasic.fbx
  Walking_A                                  len=1.067 loop=True  Rig_Medium_MovementBasic.fbx
  Walking_B                                  len=1.067 loop=True  Rig_Medium_MovementBasic.fbx
  Walking_Backwards                          len=1.067 loop=False Rig_Medium_MovementAdvanced.fbx
  Walking_C                                  len=1.600 loop=True  Rig_Medium_MovementBasic.fbx

########## ThirdParty/KevinIglesias   (3 条)
  Idle01                                     len=2.700 loop=True  HumanM@Idle01.fbx
  Run01_Forward                              len=0.600 loop=True  HumanM@Run01_Forward.fbx
  Walk01_Forward                             len=0.800 loop=True  HumanM@Walk01_Forward.fbx

########## ThirdParty/Quaternius   (174 条)
  Armature|Idle_FoldArms_Loop                len=2.500 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_FoldArms_Loop                len=2.500 loop=True  UAL2_Standard.fbx
  Armature|Idle_Lantern_Loop                 len=2.500 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_Lantern_Loop                 len=2.500 loop=True  UAL2_Standard.fbx
  Armature|Idle_No_Loop                      len=2.500 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_No_Loop                      len=2.500 loop=True  UAL2_Standard.fbx
  Armature|Idle_Rail_Call                    len=2.500 loop=False UAL2_Standard.fbx
  Armature|Idle_Rail_Call                    len=2.500 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_Rail_Loop                    len=2.500 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_Rail_Loop                    len=2.500 loop=True  UAL2_Standard.fbx
  Armature|Idle_Shield_Break                 len=1.067 loop=False UAL2_Standard.fbx
  Armature|Idle_Shield_Break                 len=1.067 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_Shield_Loop                  len=2.500 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_Shield_Loop                  len=2.500 loop=True  UAL2_Standard.fbx
  Armature|Idle_TalkingPhone_Loop            len=2.933 loop=False UAL2_Standard_RM.fbx
  Armature|Idle_TalkingPhone_Loop            len=2.933 loop=True  UAL2_Standard.fbx
  Armature|LayToIdle                         len=1.533 loop=False UAL2_Standard.fbx
  Armature|LayToIdle                         len=1.533 loop=False UAL2_Standard_RM.fbx
  Armature|NinjaJump_Idle_Loop               len=2.000 loop=False UAL2_Standard_RM.fbx
  Armature|NinjaJump_Idle_Loop               len=2.000 loop=True  UAL2_Standard.fbx
  Armature|Sword_Block                       len=1.233 loop=False UAL2_Standard.fbx
  Armature|Sword_Block                       len=1.233 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Dash                        len=1.567 loop=False UAL2_Standard.fbx
  Armature|Sword_Dash                        len=1.567 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Heavy_Combo                 len=4.333 loop=False UAL2_Standard.fbx
  Armature|Sword_Heavy_Combo                 len=4.333 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Regular_A                   len=0.433 loop=False UAL2_Standard.fbx
  Armature|Sword_Regular_A                   len=0.433 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Regular_A_Rec               len=0.967 loop=False UAL2_Standard.fbx
  Armature|Sword_Regular_A_Rec               len=0.967 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Regular_B                   len=0.533 loop=False UAL2_Standard.fbx
  Armature|Sword_Regular_B                   len=0.533 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Regular_B_Rec               len=1.033 loop=False UAL2_Standard.fbx
  Armature|Sword_Regular_B_Rec               len=1.033 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Regular_C                   len=2.000 loop=False UAL2_Standard.fbx
  Armature|Sword_Regular_C                   len=2.000 loop=False UAL2_Standard_RM.fbx
  Armature|Sword_Regular_Combo               len=3.000 loop=False UAL2_Standard.fbx
  Armature|Sword_Regular_Combo               len=3.000 loop=False UAL2_Standard_RM.fbx
  Armature|Walk_Carry_Loop                   len=2.000 loop=False UAL2_Standard_RM.fbx
  Armature|Walk_Carry_Loop                   len=2.000 loop=True  UAL2_Standard.fbx
  Armature|Zombie_Idle_Loop                  len=1.333 loop=False UAL2_Standard_RM.fbx
  Armature|Zombie_Idle_Loop                  len=1.333 loop=True  UAL2_Standard.fbx
  Armature|Zombie_Walk_Fwd_Loop              len=1.333 loop=False UAL2_Standard_RM.fbx
  Armature|Zombie_Walk_Fwd_Loop              len=1.333 loop=True  UAL2_Standard.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Alpaking.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Alpaking_Evolved.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Armabee.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Armabee_Evolved.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Demon.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Dragon.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Ghost.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Ghost_Skull.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Glub.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Glub_Evolved.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Goleling.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Goleling_Evolved.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Hywirl.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Pigeon.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Squidle.fbx
  CharacterArmature|Flying_Idle              len=1.167 loop=False Tribal.fbx
  CharacterArmature|Flying_Idle              len=1.500 loop=False Dragon_Evolved.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Alien.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Birb.fbx
  CharacterArmature|Idle                     len=1.000 loop=False BlueDemon.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Bunny.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Cactoro.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Demon.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Dino.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Fish.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Frog.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Monkroose.fbx
  CharacterArmature|Idle                     len=1.000 loop=False MushroomKing.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Ninja.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Orc.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Orc_Skull.fbx
  CharacterArmature|Idle                     len=1.000 loop=False Tribal.fbx
