时刻   状态       pose.en  Curl  握拳度R  握拳度L   CurrentSpeed
-----------------------------------------------------------------
== 比值 > 1.45 的帧 ==
 0.00   Idle      Y    30     1.547    1.462     0.00   ← 非攻击
 0.02   Idle      Y    30     1.547    1.462    12.02   ← 非攻击
 0.04   Idle      Y    30     1.547    1.456    10.64   ← 非攻击
 0.05   Idle      Y    30     1.547    1.448    10.03   ← 非攻击
 0.06   Idle      Y    30     1.547    1.429     9.31   ← 非攻击
 0.06   Idle      Y    30     1.547    1.407     8.82   ← 非攻击
 0.07   Idle      Y    30     1.547    1.378     8.34   ← 非攻击
 0.08   Idle      Y    30     1.547    1.324     7.62   ← 非攻击
 0.08   Atk1      Y    30     1.547    1.286     7.08
 0.09   Atk1      Y    30     1.547    1.259     6.52
 0.10   Atk1      Y    30     1.547    1.237     5.91
 0.11   Atk1      Y    30     1.547    1.223     5.22
 0.12   Atk1      Y    30     1.547    1.219     4.71
 0.12   Atk1      Y    30     1.547    1.222     4.15
 0.13   Atk1      Y    30     1.547    1.230     3.57
 0.14   Atk1      Y    30     1.547    1.237     3.08
 0.14   Atk1      Y    30     1.547    1.245     2.50
 0.15   Atk1      Y    30     1.547    1.251     1.92
 0.16   Atk1      Y    30     1.547    1.255     1.28
 0.17   Atk1      Y    30     1.547    1.255     0.81
 0.17   Atk1      Y    30     1.547    1.254     0.21
 0.18   Atk1      Y    30     1.547    1.253     0.00
 0.19   Atk1      Y    30     1.547    1.253     0.00
 0.19   Atk1      Y    30     1.547    1.253     0.00
 0.20   Atk1      Y    30     1.547    1.253     0.00
 0.21   Atk1      Y    30     1.547    1.253     0.00
 0.21   Atk1      Y    30     1.547    1.253     0.00
 0.22   Atk1      Y    30     1.547    1.253     0.00
 0.23   Atk1      Y    30     1.547    1.253     0.00
 0.24   Atk1      Y    30     1.547    1.253     0.00
 0.24   Atk1      Y    30     1.547    1.253     0.00
 0.25   Atk1      Y    30     1.547    1.253     0.00
 0.26   Atk1      Y    30     1.547    1.253     0.00
 0.26   Atk1      Y    30     1.547    1.253     0.00
 0.27   Atk1      Y    30     1.547    1.253     0.00
 0.27   Atk1      Y    30     1.547    1.253     0.00
 0.28   Atk1      Y    30     1.547    1.252     0.00
 0.29   Atk1      Y    30     1.547    1.252     0.00
 0.30   Atk1      Y    30     1.547    1.252     0.00
 0.30   Atk1      Y    30     1.547    1.252     0.00
 0.31   Atk1      Y    30     1.547    1.252     0.00
 0.32   Atk1      Y    30     1.547    1.252     0.00
 0.32   Atk1      Y    30     1.547    1.253     0.00
 0.33   Atk1      Y    30     1.547    1.253     0.00
 0.34   Atk1      Y    30     1.547    1.253     0.00
 0.34   Atk1      Y    30     1.547    1.253     0.00
 0.35   Atk1      Y    30     1.547    1.253     0.00
 0.36   Atk1      Y    30     1.547    1.253     0.00
 0.37   Atk1      Y    30     1.547    1.253     0.00
 0.37   Atk1      Y    30     1.547    1.252     0.00
 0.38   Atk1      Y    30     1.547    1.252     0.00
 0.39   Atk1      Y    30     1.547    1.251     0.00
 0.39   Atk1      Y    30     1.547    1.249     0.00
 0.40   Atk1      Y    30     1.547    1.247     0.00
 0.41   Atk1      Y    30     1.547    1.244     0.00
 0.41   Atk1      Y    30     1.547    1.241     0.00
 0.42   Atk1      Y    30     1.547    1.238     0.00
 0.43   Atk1      Y    30     1.547    1.234     0.00
 0.43   Atk1Rec   Y    30     1.547    1.231     0.00
 0.44   Atk1Rec   Y    30     1.547    1.228     0.00
 0.45   Atk1Rec   Y    30     1.547    1.226     0.00
 0.46   Atk1Rec   Y    30     1.547    1.225     0.00
 0.46   Atk1Rec   Y    30     1.547    1.223     0.00
 0.47   Atk1Rec   Y    30     1.547    1.222     0.00
 0.48   Atk1Rec   Y    30     1.547    1.220     0.00
 0.48   Atk1Rec   Y    30     1.547    1.220     0.00
 0.49   Atk1Rec   Y    30     1.547    1.219     0.00
 0.50   Atk1Rec   Y    30     1.547    1.220     0.00
 0.50   Atk1Rec   Y    30     1.547    1.220     0.00
 0.51   Atk1Rec   Y    30     1.547    1.221     0.00
 0.52   Atk1Rec   Y    30     1.547    1.223     0.00
 0.52   Atk1Rec   Y    30     1.547    1.225     0.00
 0.53   Atk1Rec   Y    30     1.547    1.228     0.00
 0.54   Atk1Rec   Y    30     1.547    1.231     0.00
 0.55   Atk1Rec   Y    30     1.547    1.235     0.00
 0.55   Atk1Rec   Y    30     1.547    1.239     0.00
 0.56   Atk1Rec   Y    30     1.547    1.243     0.00
 0.57   Atk1Rec   Y    30     1.547    1.249     0.09
 0.57   Atk1Rec   Y    30     1.547    1.253     0.07
 0.58   Atk1Rec   Y    30     1.547    1.260     0.09
 0.59   Atk1Rec   Y    30     1.547    1.265     0.07
 0.60   Atk1Rec   Y    30     1.547    1.273     0.09
 0.60   Atk1Rec   Y    30     1.547    1.279     0.06
 0.61   Atk1Rec   Y    30     1.547    1.287     0.09
 0.62   Atk1Rec   Y    30     1.547    1.294     0.07
 0.62   Atk1Rec   Y    30     1.547    1.300     0.07
 0.63   Atk1Rec   Y    30     1.547    1.309     0.08
 0.64   Atk1Rec   Y    30     1.547    1.316     0.08
 0.64   Atk1Rec   Y    30     1.547    1.324     0.08
 0.65   Atk1Rec   Y    30     1.547    1.331     0.07
 0.66   Atk1Rec   Y    30     1.547    1.339     0.08
 0.66   Atk1Rec   Y    30     1.547    1.346     0.07
 0.67   Atk1Rec   Y    30     1.547    1.356     0.10
 0.68   Atk1Rec   Y    30     1.547    1.363     0.07
 0.68   Atk1Rec   Y    30     1.547    1.370     0.08
 0.69   Atk1Rec   Y    30     1.547    1.378     0.08
 0.70   Atk1Rec   Y    30     1.547    1.385     0.08
 0.71   Atk1Rec   Y    30     1.547    1.391    15.04
 0.71   Atk1Rec   Y    30     1.547    1.365    14.57
 0.72   Atk1Rec   Y    30     1.547    1.321    13.80
 0.73   Atk1Rec   Y    30     1.547    1.295    13.34
 0.73   Atk1Rec   Y    30     1.547    1.265    12.79
 0.74   Atk1Rec   Y    30     1.547    1.242    12.28
 0.75   Atk1Rec   Y    30     1.547    1.225    11.73
 0.75   Atk1Rec   Y    30     1.547    1.221    11.09
 0.76   Atk1Rec   Y    30     1.547    1.232    10.58
 0.77   Atk2      Y    30     1.547    1.253     9.95
 0.78   Atk2      Y    30     1.547    1.253     9.43
 0.78   Atk2      Y    30     1.547    1.253     8.75
 0.79   Atk2      Y    30     1.547    1.253     8.31
 0.80   Atk2      Y    30     1.547    1.253     7.67
 0.80   Atk2      Y    30     1.547    1.253     7.21
 0.81   Atk2      Y    30     1.547    1.253     6.56
 0.82   Atk2      Y    30     1.547    1.253     6.05
 0.82   Atk2      Y    30     1.547    1.253     5.53
 0.83   Atk2      Y    30     1.547    1.253     4.94
 0.84   Atk2      Y    30     1.547    1.253     4.33
 0.84   Atk2      Y    30     1.547    1.253     3.81
 0.85   Atk2      Y    30     1.547    1.251     3.26
 0.86   Atk2      Y    30     1.547    1.250     2.71
 0.86   Atk2      Y    30     1.547    1.252     2.19
 0.87   Atk2      Y    30     1.547    1.259     1.54
 0.88   Atk2      Y    30     1.547    1.267     1.08
 0.88   Atk2      Y    30     1.547    1.282     0.52
 0.89   Atk2      Y    30     1.547    1.307     0.07
 0.90   Atk2      Y    30     1.547    1.333     0.00
 0.91   Atk2      Y    30     1.547    1.372     0.00
 0.91   Atk2      Y    30     1.547    1.428     0.00
 0.92   Atk2      Y    30     1.547    1.464     0.00
 0.93   Atk2      Y    30     1.547    1.503     0.00
 0.93   Atk2      Y    30     1.547    1.534     0.00
 0.94   Atk2      Y    30     1.547    1.565     0.00
 0.95   Atk2      Y    30     1.547    1.578     0.00
 0.96   Atk2      Y    30     1.547    1.582     0.00
 0.96   Atk2      Y    30     1.547    1.580     0.00
 0.97   Atk2      Y    30     1.547    1.574     0.00
 0.98   Atk2      Y    30     1.547    1.573     0.00
 0.98   Atk2      Y    30     1.547    1.572     0.00
 0.99   Atk2      Y    30     1.547    1.571     0.00
 1.00   Atk2      Y    30     1.547    1.570     0.00
 1.00   Atk2      Y    30     1.547    1.567     0.00
 1.01   Atk2      Y    30     1.547    1.565     0.00
 1.02   Atk2      Y    30     1.547    1.562     0.00
 1.02   Atk2      Y    30     1.547    1.559     0.00
 1.03   Atk2      Y    30     1.547    1.554     0.00
 1.05   Atk2      Y    30     1.547    1.545     0.00
