FootIK 配置：probeUp=0.5  probeDown=1.5  maxLift=0.8  liftSmooth=14  groundClearance=0.005

════ Idle ════
   nt     已生效偏移   网格最低点Y   基准Base   BodyLift   需抬Raw   有地面?   角色Y
   0.00      +0.031        +0.306      +0.031      +0.000      +0.000         有      +0.330
   0.10      +0.031        +0.312      +0.031      +0.000      +0.000         有      +0.330
   0.20      +0.031        +0.317      +0.031      +0.000      +0.000         有      +0.330
   0.30      +0.031        +0.311      +0.031      +0.000      +0.000         有      +0.330
   0.40      +0.031        +0.304      +0.031      +0.000      +0.001         有      +0.330
   0.50      +0.032        +0.306      +0.031      +0.001      +0.000         有      +0.330
   0.60      +0.031        +0.312      +0.031      +0.000      +0.000         有      +0.330
   0.70      +0.031        +0.317      +0.031      +0.000      +0.000         有      +0.330
   0.80      +0.031        +0.312      +0.031      +0.000      +0.000         有      +0.330
   0.90      +0.031        +0.306      +0.031      +0.000      +0.000         有      +0.330
   1.00      +0.031        +0.305      +0.031      +0.000      +0.000         有      +0.330

════ Atk1 ════
   nt     已生效偏移   网格最低点Y   基准Base   BodyLift   需抬Raw   有地面?   角色Y
   0.00      +0.045        +0.741      +0.045      +0.000      +0.000         有      +0.330
   0.10      +0.045        +0.844      +0.045      +0.000      +0.000         有      +0.330
   0.20      +0.045        +0.865      +0.045      +0.000      +0.000         有      +0.330
   0.30      +0.045        +0.735      +0.045      +0.000      +0.000         有      +0.330
   0.40      +0.045        +0.727      +0.045      +0.000      +0.000         有      +0.330
   0.50      +0.045        +0.713      +0.045      +0.000      +0.000         有      +0.330
   0.60      +0.045        +0.712      +0.045      +0.000      +0.000         有      +0.330
   0.70      +0.045        +0.523      +0.045      +0.000      +0.000         有      +0.330
   0.80      +0.070        +0.228      +0.045      +0.026      +0.102         有      +0.330
   0.90      +0.135        +0.199      -0.003      +0.138      +0.245         有      +0.330
   1.00      +0.052        +0.708      +0.045      +0.008      +0.000         有      +0.330

════ Atk1Rec ════
   nt     已生效偏移   网格最低点Y   基准Base   BodyLift   需抬Raw   有地面?   角色Y
   0.00      +0.224        +0.279      -0.003      +0.227      +0.253         有      +0.330
   0.10      +0.317        +0.252      -0.003      +0.320      +0.373         有      +0.330
   0.20      +0.405        +0.274      -0.003      +0.408      +0.439         有      +0.330
   0.30      +0.462        +0.278      -0.003      +0.465      +0.492         有      +0.330
   0.40      +0.293        +0.050      -0.003      +0.296      +0.251         有      +0.330
   0.50      +0.268        -0.005      -0.003      +0.271      +0.280         有      +0.330
   0.60      +0.285        -0.001      -0.003      +0.288      +0.294         有      +0.330
   0.70      +0.295        +0.002      -0.003      +0.298      +0.301         有      +0.330
   0.80      +0.335        +0.347      -0.003      +0.338      +0.296         有      +0.330
   0.90      +0.302        +0.007      -0.003      +0.305      +0.303         有      +0.330
   1.00      +0.300        +0.005      -0.003      +0.303      +0.303         有      +0.330

════ Atk2 ════
   nt     已生效偏移   网格最低点Y   基准Base   BodyLift   需抬Raw   有地面?   角色Y
   0.00      +0.191        +0.383      +0.049      +0.142      +0.064         有      +0.330
   0.10      +0.102        +0.543      +0.049      +0.052      +0.000         有      +0.330
   0.20      +0.063        +0.446      +0.049      +0.013      +0.000         有      +0.330
   0.30      +0.061        +0.285      +0.049      +0.011      +0.031         有      +0.330
   0.40      +0.084        +0.279      +0.049      +0.034      +0.060         有      +0.330
   0.50      +0.115        +0.284      +0.049      +0.065      +0.086         有      +0.330
   0.60      +0.125        +0.307      +0.049      +0.076      +0.074         有      +0.330
   0.70      +0.120        +0.314      +0.049      +0.071      +0.062         有      +0.330
   0.80      +0.195        +0.203      +0.049      +0.146      +0.248         有      +0.330
   0.90      +0.285        +0.201      +0.002      +0.283      +0.386         有      +0.330
   1.00      +0.123        +0.318      +0.049      +0.073      +0.061         有      +0.330

════ Atk2Rec ════
   nt     已生效偏移   网格最低点Y   基准Base   BodyLift   需抬Raw   有地面?   角色Y
   0.00      +0.370        +0.291      +0.002      +0.368      +0.382         有      +0.330
   0.10      +0.403        +0.294      +0.002      +0.401      +0.412         有      +0.330
   0.20      +0.421        +0.293      +0.002      +0.419      +0.431         有      +0.330
   0.30      +0.433        +0.313      +0.002      +0.430      +0.423         有      +0.330
   0.40      +0.400        +0.299      +0.002      +0.398      +0.404         有      +0.330
   0.50      +0.330        -0.017      +0.002      +0.328      +0.350         有      +0.330
   0.60      +0.439        -0.055      +0.002      +0.437      +0.496         有      +0.330
   0.70      +0.085        -0.481      +0.002      +0.083      +0.000        无!!     +0.330
   0.80      +0.288        +0.148      +0.002      +0.285      +0.442         有      +0.330
   0.90      +0.018        -0.562      +0.002      +0.016      +0.000        无!!     +0.330
   1.00      +0.003        -0.577      +0.002      +0.001      +0.000        无!!     +0.330

════ Atk3 ════
   nt     已生效偏移   网格最低点Y   基准Base   BodyLift   需抬Raw   有地面?   角色Y
   0.00      +0.302        +0.098      +0.013      +0.289      +0.196         有      +0.330
   0.10      +0.029        -0.479      +0.013      +0.016      +0.000        无!!     +0.330
   0.20      +0.362        -0.010      +0.013      +0.349      +0.364         有      +0.330
   0.30      +0.317        +0.382      +0.013      +0.304      +0.227         有      +0.330
   0.40      +0.142        +0.309      +0.013      +0.129      +0.125         有      +0.330
   0.50      +0.254        +0.202      +0.013      +0.241      +0.344         有      +0.330
   0.60      +0.294        -0.034      +0.013      +0.281      +0.320         有      +0.330
   0.70      +0.350        +0.207      +0.013      +0.337      +0.435         有      +0.330
   0.80      +0.278        -0.225      +0.013      +0.265      +0.000        无!!     +0.330
   0.90      +0.028        -0.512      +0.013      +0.015      +0.000        无!!     +0.330
   1.00      +0.014        -0.530      +0.013      +0.001      +0.000        无!!     +0.330
