Animator.avatar = FengAvatar
Visual.localScale = (2.2130, 2.2130, 2.2130)   localPosition.y = 0.0307
root.y = 0.3300   地面 Y = 0.3000

状态       无IK最深   无IK最浅   建议(-最浅+clearance)   现采用   差值
---------------------------------------------------------------------------
Idle         -0.0276    -0.0124          0.0174          0.0307   +0.0133
Walk         -0.1384     0.2258         -0.2208         -0.0554   +0.1654
Run          -0.1685     0.3632         -0.3582          0.1735   +0.5317
Dash          0.0071     0.4391         -0.4341         -0.0041   +0.4300
Atk1         -0.0339     0.5430         -0.5380          0.0200   +0.5580
Atk1Rec      -0.5954    -0.2005          0.2055          0.1800   -0.0255
Atk2         -0.2435     0.2652         -0.2602          0.0300   +0.2902
Atk2Rec      -0.8804    -0.3777          0.3827          0.3600   -0.0227
Atk3         -0.8738    -0.1170          0.1220          0.1000   -0.0220
