================ r6_ground2 v3 ================
材质：Ground=M_Whitebox_Ground (Instance)#-548544  Arena=M_Whitebox_Platform (Instance)#-548546  Wall=M_Whitebox_Wall

---------- ① 正向对照 ----------
  基线均值=0.7737  高台 _BandBias=-0.4 后均值=0.4386   ⇒ 探针能影响画面，读数有效

---------- ② P1_实机近 分材质分层（2× 超采样）----------
  配置                              局部对比度     低频带std       亮度均值      亮度std
  00_基线                         0.03269    0.21181     0.7730     0.2303
  01_关jitter(全局)                0.03123    0.21174     0.7730     0.2301
  02_关纸颗粒(全局)                   0.02441    0.21230     0.7738     0.2305
  03_关笔触(全局)                    0.03183    0.21217     0.7737     0.2306
  04_关积墨(全局)                    0.03254    0.21244     0.7739     0.2309
  05_全噪声关(全局)                   0.02208    0.21378     0.7765     0.2319
  06_只关高台噪声                     0.02292    0.21372     0.7759     0.2318
  07_只关地面噪声                     0.03231    0.21198     0.7734     0.2305
  08_关大气透视                      0.03202    0.23225     0.7477     0.2495

---------- ② P2_俯视 分材质分层（2× 超采样）----------
  配置                              局部对比度     低频带std       亮度均值      亮度std
  00_基线                         0.02391    0.11988     0.8498     0.1398
  01_关jitter(全局)                0.02289    0.11960     0.8499     0.1394
  02_关纸颗粒(全局)                   0.01403    0.12033     0.8507     0.1398
  03_关笔触(全局)                    0.02312    0.12001     0.8506     0.1399
  04_关积墨(全局)                    0.02374    0.12014     0.8511     0.1401
  05_全噪声关(全局)                   0.01189    0.12108     0.8538     0.1404
  06_只关高台噪声                     0.01329    0.12117     0.8530     0.1405
  07_只关地面噪声                     0.02282    0.12007     0.8505     0.1401
  08_关大气透视                      0.02382    0.14209     0.8375     0.1611

================ end ================
