[sitemap] 商品 5711 个，分类 120 个
[scan] 选中分类 vfx, vfx/particles, vfx/particles/spells, vfx/particles/fire-explosions, vfx/particles/environment, vfx/shaders, tools/particles-effects ⇒ 345 个商品
[scan] 需抓 343 个商品页（缓存已有 2）
  25/343  8s  (3.00 个/秒)
  50/343  16s  (3.10 个/秒)
  75/343  24s  (3.17 个/秒)
  100/343  33s  (3.05 个/秒)
  125/343  41s  (3.05 个/秒)
  150/343  47s  (3.18 个/秒)
  175/343  54s  (3.24 个/秒)
  200/343  61s  (3.27 个/秒)
  225/343  67s  (3.36 个/秒)
  250/343  74s  (3.36 个/秒)
  275/343  84s  (3.28 个/秒)
  300/343  90s  (3.34 个/秒)
  325/343  99s  (3.28 个/秒)
  343/343  104s  (3.31 个/秒)
[result] 341 条命中（缓存总量 345）

id         名称                         价格       团结引擎版本                 分类/发布者
----------------------------------------------------------------------------------------------------------------------
20003693    特效合集超级包 - Vol.2 - URP     ¥144.20  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003822    风格化的光束效果 -Vol.2 -URP      ¥77.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003079   100 个 2D 像素风格特效            ¥198.10  2022.3.62t5            VFX / Ismartal
20004590   2D shader效果合集              ¥14.00   2022.3.62t7            VFX/着色器 / aiwankeji
20003910   2D 烟花特效                    ¥42.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003911   2D 烟花特效 - URP              ¥49.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20005209   2D射击枪口和冲击 Vol1             ¥77.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20002492   2D射击枪口和冲击 Vol2             ¥97.30   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20002493   2D射击枪口和冲击 Vol2 - URP       ¥97.30   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003546   2D电弧效果                     ¥34.30   2022.3.62t4            VFX / Maything
20003781   2D网格线效果                    ¥34.30   2022.3.62t4            VFX / Maything
20003786   2D蛇形笔刷效果                   ¥13.92   2022.3.62t4            VFX / Maything
20000892   3A级科幻特效                    ¥144.20  2022.3.61t8            VFX/粒子 / Hovl Studio
20000891   3D火焰与爆炸                    ¥99.40   2022.3.62t4            VFX/粒子/火焰与爆炸 / Hovl Studio
20003800   50 项影响                     ¥48.30   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20002222   All In 1 3D-Shader         ¥220.50  2022.3.61t9            VFX/着色器 / Seaside Studios
20002221   All In 1 Sprite Shader     ¥196.00  2022.3.61t9            VFX/着色器 / Seaside Studios
20002223   All In 1 Vfx Toolkit       ¥294.00  2022.3.61t9            VFX/着色器 / Seaside Studios
20006552   Area Of Effect             ¥126.00  2022.3.2t3             VFX/粒子 / Lanlan
20006596   Aura Status Effect         ¥136.50  2022.3.2t3             VFX/粒子 / Lanlan
20006591   Beam Effect                ¥115.50  2022.3.2t3             VFX/粒子 / Lanlan
20000557   Beautify 3 - Advanced Po   ¥244.30  2022.3.61t6            VFX/着色器/全屏与镜头效果 / Kronnect
20001537   Blur Toolkit URP - URP全能   ¥98.70   2022.3.2t3             VFX/着色器 / DevDunk
20004667   Brightness Effect - URP    ¥140.00  2022.3.62t7            VFX/着色器/全屏与镜头效果 / GHB
20005366   Cartoon Casual VFX Pack    ¥99.81   2022.3.61t6            VFX / LAYERLAB
20004669   ChameleonX                 免费       2022.3.2t3             VFX/着色器 / TLNEXUS
20006592   Character Energy Totem S   ¥105.00  2022.3.2t3             VFX/粒子 / Lanlan
20006595   Character Trail Effect     ¥115.50  2022.3.2t3             VFX/粒子 / Lanlan
20003548   DNA细胞核粒子效果                 ¥27.30   2022.3.62t4            VFX/粒子 / Maything
20006345   Double Sided Standard Mo   ¥47.60   2022.3.61t12           VFX/着色器 / Brumble5543
20000768   Easy Performant Outline    ¥194.60  2022.3.2t3             VFX/着色器/全屏与镜头效果 / Pirate Parrot
20006593   Elemental Explosion        ¥119.00  2022.3.2t3             VFX/粒子 / Lanlan
20006586   Global Snow 2              ¥189.00  2022.3.61t6            VFX/着色器/全屏与镜头效果 / Kronnect
20000435   GrassFlow 2                ¥174.99  2022.3.2t3             VFX/着色器 / BoltScripts
20001730   Highlight Plus 2 - All i   ¥220.50  2022.3.61t6            VFX / Kronnect
20002603   Infinity Benchmark Suite   免费       2022.3.62t2            VFX/粒子 / 团结引擎
20002197   LUMINA GI 2024: Real-Tim   ¥483.00  2022.3.62t4            工具/粒子效果 / nasos_333
20005944   Legacy Particle Pack       免费       2022.3.62t11           VFX/粒子 / 团结引擎
20006385   Light Beams                ¥47.60   2022.3.61t12           VFX/着色器 / Brumble5543
20001817   Light Receiver URP - AR    ¥72.80   2022.3.2t3             VFX/着色器 / DevDunk
20006589   Liquid Volume Pro 2        ¥402.50  2022.3.61t6            VFX/着色器 / Kronnect
20002009   LitPlus — URP 光照 Shader    ¥34.30   2022.3.61t9            VFX/着色器 / GraphicsCat
20006590   Loop Buff Skill Effect     ¥126.00  2022.3.2t3             VFX/粒子 / Lanlan
20001022   POLYGON - Particle FX Pa   ¥238.00  2022.3.62t1b1          VFX/粒子 / Synty Studios
20001100   Particle Environment&Bac   ¥74.20   2022.3.61t7            VFX/粒子/环境 / BluBlu Games
20005957   Particle Pack              免费       2022.3.62t1b1          VFX/粒子 / 团结引擎
20001263   PotaToon                   ¥455.00  2022.3.61t8            VFX/着色器 / Mseon
20000893   RPG 特效捆绑包                  ¥239.40  2022.3.61t8            VFX/粒子 / Hovl Studio
20004485   Radiant Global Illuminat   ¥248.50  2022.3.61t6            VFX/着色器/全屏与镜头效果 / Kronnect
20006001   Real Fake Interiors        ¥118.30  2022.3.2t3             VFX / Amplify Creations
20000949   RealToon （专业动漫/卡通着色器）      ¥174.30  2022.3.61t2            VFX/着色器 / MJQ Studio Works
20001238   Realistic Explosion Pack   ¥105.00  2022.3.61t8            VFX/粒子/火焰与爆炸 / Saitama Studio
20005930   Retro Texel Splatting To   ¥49.00   2022.3.62t10           VFX / KE 3D Assets（3D素材)
20006146   Roguelike 召唤师魔法特效          ¥161.00  2022.3.62t11           VFX/粒子/符文 / Piloto Studio
20003499   Roguelike 特效 Vol.3         ¥161.00  2022.3.62t5            VFX/粒子/符文 / Piloto Studio
20002280   Roguelike 魔法 II VFX 套件     ¥168.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002259   Roguelike 魔法特效套装           ¥175.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20000313   SEAMLESS CONVERTER SHADE   ¥24.65   2022.3.62t1b7          VFX/着色器 / Occlusionn
